PYMERCATOR STABILITY RANKING
----------------------------------------------------------------------------------------------------------------------
RK TICKER SECTOR     SURV READY WATCH BLOCK    AVG FACTOR SCORE CODES                             
56 SANB11 financials    3     0     3     1  29.63   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
57 CMIG4  utilities     3     0     3     1  29.60   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
58 AXIA6  utilities     3     0     3     1  29.02   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
59 VIVT3  communication    3     0     3     1  28.68   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
60 AZZA3  consumer_discretionary    3     0     3     1  28.45   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
61 RADL3  health_care    3     0     3     1  28.15   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
62 CPFE3  utilities     3     0     3     1  27.07   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
63 COGN3  consumer_discretionary    3     0     3     1  26.84   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
64 RECV3  energy        3     0     3     1  26.46   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
65 VIVA3  consumer_discretionary    3     0     3     1  26.35   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
66 MRVE3  real_estate    3     0     3     1  24.48   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
67 MGLU3  consumer_discretionary    3     0     3     1  23.61   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
68 CSAN3  energy        3     0     3     1  23.25   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
69 VAMO3  industrials    3     0     3     1  23.12   0.80     6 CTX_LOW,HEADLINE,REGIME_DENY      
70 USIM5  materials     0     0     0     4  60.05   0.80     0 HEADLINE,REGIME_DENY,VOL_HIGH     
71 ABEV3  consumer_staples    0     0     0     4  51.86   0.80     0 HEADLINE,REGIME_DENY,VOL_HIGH     
72 BRKM5  materials     0     0     0     4  49.46   0.80     0 ATR_HIGH,HEADLINE,REGIME_DENY,V...
73 HAPV3  health_care    0     0     0     4  47.41   0.80     0 HEADLINE,REGIME_DENY,VOL_HIGH     
74 SMFT3  consumer_discretionary    0     0     0     4  46.91   0.80     0 HEADLINE,REGIME_DENY,VOL_HIGH     
75 CEAB3  consumer_discretionary    0     0     0     4  40.55   0.80     0 HEADLINE,REGIME_DENY,VOL_HIGH     
76 BEEF3  consumer_staples    0     0     0     4  37.29   0.80     0 HEADLINE,REGIME_DENY,VOL_HIGH     
77 CMIN3  materials     0     0     0     4  35.86   0.80     0 HEADLINE,REGIME_DENY,VOL_HIGH     
78 RENT3  consumer_discretionary    0     0     0     4  34.56   0.80     0 HEADLINE,REGIME_DENY,VOL_HIGH     
