date,open,high,low,close,volume
2025-01-02,33.149998,33.599998,32.099998,32.549999,3545446
2025-01-03,32.25,33.299999,31.499998,31.499998,3544800
2025-01-06,32.099998,33.0,31.949999,32.700001,3268273
2025-01-07,33.0,35.700001,32.549999,35.700001,7629693
2025-01-08,35.399998,36.149998,33.899998,35.25,6135673
2025-01-09,35.099998,35.549999,33.899998,33.899998,2857560
2025-01-10,33.75,33.899998,32.700001,33.0,3234033
2025-01-13,33.149998,33.450001,32.25,32.399998,3464880
2025-01-14,32.549999,33.0,32.099998,33.0,3023886
2025-01-15,33.599998,36.599998,33.450001,36.450001,7610046
2025-01-16,36.0,36.149998,34.950001,35.549999,5328980
2025-01-17,35.700001,35.700001,33.599998,33.599998,3879300
2025-01-20,33.299999,34.950001,32.849998,34.049999,3056900
2025-01-21,34.200001,34.799999,33.599998,34.200001,3500553
2025-01-22,34.200001,35.399998,34.049999,34.649998,3682386
2025-01-23,34.950001,35.700001,34.049999,34.349998,3704980
2025-01-24,34.349998,35.700001,34.200001,34.349998,3065506
2025-01-27,34.349998,36.149998,34.200001,35.700001,4712580
2025-01-28,35.849998,37.049999,34.649998,34.799999,9061426
2025-01-29,35.099998,35.549999,34.200001,34.349998,3448300
2025-01-30,34.5,36.899998,34.049999,36.75,6724046
2025-01-31,37.200001,37.5,36.149998,36.299999,3707740
2025-02-03,36.149998,37.049999,35.099998,36.599998,5325100
2025-02-04,36.599998,37.200001,34.799999,35.849998,8029306
2025-02-05,36.0,36.0,34.349998,34.799999,6448393
2025-02-06,34.649998,35.099998,33.899998,34.049999,4864340
2025-02-07,34.049999,34.950001,33.299999,34.950001,8501326
2025-02-10,35.099998,37.049999,34.950001,35.099998,4137373
2025-02-11,35.25,37.799999,35.25,37.649998,8238853
2025-02-12,36.0,36.299999,34.649998,34.950001,9580753
2025-02-13,34.799999,35.25,34.200001,34.799999,6042440
2025-02-14,35.399998,37.799999,34.950001,37.649998,9525040
2025-02-17,38.099998,39.149998,37.649998,38.099998,6446753
2025-02-18,37.799999,38.25,36.899998,37.049999,5468926
2025-02-19,36.599998,37.649998,36.0,36.450001,4871853
2025-02-20,36.599998,37.049999,36.0,36.599998,6511300
2025-02-21,36.75,37.349998,35.099998,35.399998,5910313
2025-02-24,35.549999,35.700001,33.450001,33.450001,7963760
2025-02-25,33.450001,34.200001,31.949999,31.949999,7061606
2025-02-26,32.399998,33.0,31.199999,31.499998,8954453
2025-02-27,31.799999,33.0,31.349998,31.799999,6461013
2025-02-28,31.65,32.399998,30.599998,31.65,46892633
2025-03-05,31.049999,32.099998,29.699999,31.949999,5186860
2025-03-06,31.949999,32.399998,31.049999,31.199999,4434473
2025-03-07,31.199999,33.299999,30.9,32.549999,6481666
2025-03-10,32.099998,32.25,30.749998,30.749998,5204153
2025-03-11,30.9,31.349998,30.449999,30.9,3970900
2025-03-12,30.9,31.65,30.749998,31.199999,3649993
2025-03-13,31.199999,31.65,30.749998,31.199999,4227773
2025-03-14,31.499998,33.149998,31.499998,32.700001,7450333
2025-03-17,32.700001,34.649998,32.25,34.349998,5834193
2025-03-18,34.349998,37.049999,34.349998,35.399998,9601900
2025-03-19,35.399998,35.700001,33.149998,33.899998,13499786
2025-03-20,31.049999,36.599998,31.049999,33.75,35058346
2025-03-21,33.75,34.049999,32.25,32.549999,6968360
2025-03-24,32.549999,33.0,31.049999,31.199999,4238393
